_id,Codice_ateco,Descrizione_ateco
1523,46.12.01,"46.12.01 - Agenti e rappresentanti di carburanti, gpl, gas in bombole e simili; lubrificanti"
1524,46.12.02,46.12.02 - Agenti e rappresentanti di combustibili solidi
1525,46.12.03,"46.12.03 - Agenti e rappresentanti di minerali, metalli e prodotti semilavorati"
1526,46.12.04,46.12.04 - Agenti e rappresentanti di prodotti chimici per l'industria
1527,46.12.05,46.12.05 - Agenti e rappresentanti di prodotti chimici per l'agricoltura (inclusi i fertilizzanti)
1528,46.12.06,"46.12.06 - Procacciatori d'affari di combustibili, minerali, metalli e prodotti chimici"
1529,46.12.07,"46.12.07 - Mediatori in combustibili, minerali, metalli e prodotti chimici"
1530,46.13,46.13 - Intermediari del commercio di legname e materiali da costruzione
1531,46.13.0,46.13.0 - Intermediari del commercio di legname e materiali da costruzione
1532,46.13.01,"46.13.01 - Agenti e rappresentanti di legname, semilavorati in legno e legno artificiale"
1533,46.13.02,46.13.02 - Agenti e rappresentanti di materiale da costruzione (inclusi gli infissi e gli articoli igienico-sanitari); vetro piano
1534,46.13.03,46.13.03 - Agenti e rappresentanti di apparecchi ed accessori per riscaldamento e condizionamento e altri prodotti similari
1535,46.13.04,46.13.04 - Procacciatori d'affari di legname e materiali da costruzione
1536,46.13.05,46.13.05 - Mediatori in legname e materiali da costruzione
1537,46.14,"46.14 - Intermediari del commercio di macchinari, impianti industriali, navi e aeromobili"
1538,46.14.0,"46.14.0 - Intermediari del commercio di macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche"
1539,46.14.01,"46.14.01 - Agenti e rappresentanti di macchine, attrezzature ed impianti per l'industria ed il commercio; materiale e apparecchi elettrici ed elettronici per uso non domestico"
1540,46.14.02,46.14.02 - Agenti e rappresentanti di macchine per costruzioni edili e stradali
1541,46.14.03,"46.14.03 - Agenti e rappresentanti di macchine, attrezzature per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche"
1542,46.14.04,46.14.04 - Agenti e rappresentanti di macchine ed attrezzature per uso agricolo (inclusi i trattori)
1543,46.14.05,"46.14.05 - Agenti e rappresentanti di navi, aeromobili e altri veicoli (esclusi autoveicoli, motocicli, ciclomotori e biciclette)"
1544,46.14.06,"46.14.06 - Procacciatori d'affari di macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche"
1545,46.14.07,"46.14.07 - Mediatori in macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche"
1546,46.15,"46.15 - Intermediari del commercio di mobili, articoli per la casa e ferramenta"
1547,46.15.0,"46.15.0 - Intermediari del commercio di mobili, articoli per la casa e ferramenta"
1548,46.15.01,"46.15.01 - Agenti e rappresentanti di mobili in legno, metallo e materie plastiche"
1549,46.15.02,46.15.02 - Agenti e rappresentanti di articoli di ferramenta e di bricolage
1550,46.15.03,"46.15.03 - Agenti e rappresentanti di articoli casalinghi, porcellane, articoli in vetro eccetera"
1551,46.15.04,"46.15.04 - Agenti e rappresentanti di vernici, carte da parati, stucchi e cornici decorativi"
1552,46.15.05,"46.15.05 - Agenti e rappresentanti di mobili e oggetti di arredamento per la casa in canna, vimini, giunco, sughero, paglia; scope, spazzole, cesti e simili"
1553,46.15.06,"46.15.06 - Procacciatori d'affari di mobili, articoli per la casa e ferramenta"
1554,46.15.07,"46.15.07 - Mediatori in mobili, articoli per la casa e ferramenta"
1555,46.16,"46.16 - Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle"
1556,46.16.0,"46.16.0 - Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle"
1557,46.16.01,46.16.01 - Agenti e rappresentanti di vestiario ed accessori di abbigliamento
1558,46.16.02,46.16.02 - Agenti e rappresentanti di pellicce
1559,46.16.03,46.16.03 - Agenti e rappresentanti di tessuti per abbigliamento ed arredamento (incluse merceria e passamaneria)
1560,46.16.04,"46.16.04 - Agenti e rappresentanti di camicie, biancheria e maglieria intima"
1561,46.16.05,46.16.05 - Agenti e rappresentanti di calzature ed accessori
1562,46.16.06,"46.16.06 - Agenti e rappresentanti di pelletteria, valige ed articoli da viaggio"
1563,46.16.07,"46.16.07 - Agenti e rappresentanti di articoli tessili per la casa, tappeti, stuoie e materassi"
1564,46.16.08,"46.16.08 - Procacciatori d'affari di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle"
1565,46.16.09,"46.16.09 - Mediatori in prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle"
1566,46.17,"46.17 - Intermediari del commercio di prodotti alimentari, bevande e tabacco"
1567,46.17.0,"46.17.0 - Intermediari del commercio di prodotti alimentari, bevande e tabacco"
1568,46.17.01,"46.17.01 - Agenti e rappresentanti di prodotti ortofrutticoli freschi, congelati e surgelati"
1569,46.17.02,"46.17.02 - Agenti e rappresentanti di carni fresche, congelate, surgelate, conservate e secche; salumi"
1570,46.17.03,"46.17.03 - Agenti e rappresentanti di latte, burro e formaggi"
1571,46.17.04,"46.17.04 - Agenti e rappresentanti di oli e grassi alimentari: olio d'oliva e di semi, margarina ed altri prodotti similari"
1572,46.17.05,46.17.05 - Agenti e rappresentanti di bevande e prodotti similari
1573,46.17.06,"46.17.06 - Agenti e rappresentanti di prodotti ittici freschi, congelati, surgelati e conservati e secchi"
1574,46.17.07,46.17.07 - Agenti e rappresentanti di altri prodotti alimentari (incluse le uova e gli alimenti per gli animali domestici); tabacco
1575,46.17.08,"46.17.08 - Procacciatori d'affari di prodotti alimentari, bevande e tabacco"
1576,46.17.09,"46.17.09 - Mediatori in prodotti alimentari, bevande e tabacco"
1577,46.18,46.18 - Intermediari del commercio specializzato in altri prodotti
1578,46.18.1,"46.18.1 - Intermediari del commercio di prodotti di carta, cancelleria, libri"
1579,46.18.11,46.18.11 - Agenti e rappresentanti di carta e cartone (esclusi gli imballaggi); articoli di cartoleria e cancelleria
1580,46.18.12,46.18.12 - Agenti e rappresentanti di libri e altre pubblicazioni (incluso i relativi abbonamenti)
1581,46.18.13,"46.18.13 - Procacciatori d'affari di prodotti di carta, cancelleria, libri"
1582,46.18.14,"46.18.14 - Mediatori in prodotti di carta, cancelleria, libri"
1583,46.18.2,"46.18.2 - Intermediari del commercio di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici"
1584,46.18.21,"46.18.21 - Agenti e rappresentanti di elettronica di consumo audio e video, materiale elettrico per uso domestico"
1585,46.18.22,46.18.22 - Agenti e rappresentanti di apparecchi elettrodomestici
1586,46.18.23,"46.18.23 - Procacciatori d'affari di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici"
1587,46.18.24,"46.18.24 - Mediatori in elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici"
1588,46.18.3,46.18.3 - Intermediari del commercio di prodotti farmaceutici e di cosmetici
1589,46.18.31,46.18.31 - Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico
1590,46.18.32,"46.18.32 - Agenti e rappresentanti di prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici; apparecchi per centri di estetica"
1591,46.18.33,46.18.33 - Agenti e rappresentanti di prodotti di profumeria e di cosmetica (inclusi articoli per parrucchieri); prodotti di erboristeria per uso cosmetico
1592,46.18.34,46.18.34 - Procacciatori d'affari di prodotti farmaceutici e di cosmetici
1593,46.18.35,46.18.35 - Mediatori in prodotti farmaceutici e cosmetici
1594,46.18.9,"46.18.9 - Intermediari del commercio di attrezzature sportive, biciclette e altri prodotti nca"
1595,46.18.91,46.18.91 - Agenti e rappresentanti di attrezzature sportive; biciclette
1596,46.18.92,"46.18.92 - Agenti e rappresentanti di orologi, oggetti e semilavorati per gioielleria e oreficeria"
1597,46.18.93,"46.18.93 - Agenti e rappresentanti di articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi"
1598,46.18.94,"46.18.94 - Agenti e rappresentanti di saponi, detersivi, candele e prodotti simili"
1599,46.18.95,46.18.95 - Agenti e rappresentanti di giocattoli
1600,46.18.96,46.18.96 - Agenti e rappresentanti di chincaglieria e bigiotteria
1601,46.18.97,"46.18.97 - Agenti e rappresentanti di altri prodotti non alimentari nca (inclusi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari)"
1602,46.18.98,"46.18.98 - Procacciatori d'affari di attrezzature sportive, biciclette e altri prodotti nca"
1603,46.18.99,"46.18.99 - Mediatori in attrezzature sportive, biciclette e altri prodotti nca"
1604,46.19,46.19 - Intermediari del commercio di vari prodotti senza prevalenza di alcuno
1605,46.19.0,46.19.0 - Intermediari del commercio di vari prodotti senza prevalenza di alcuno
1606,46.19.01,46.19.01 - Agenti e rappresentanti di vari prodotti senza prevalenza di alcuno
1607,46.19.02,46.19.02 - Procacciatori d'affari di vari prodotti senza prevalenza di alcuno
1608,46.19.03,46.19.03 - Mediatori in vari prodotti senza prevalenza di alcuno
1609,46.19.04,46.19.04 - Gruppi di acquisto; mandatari agli acquisti; buyer
1610,46.2,46.2 - COMMERCIO ALL'INGROSSO DI MATERIE PRIME AGRICOLE E DI ANIMALI VIVI
1611,46.21,"46.21 - Commercio all'ingrosso di cereali, tabacco grezzo, sementi e alimenti per il bestiame (mangimi)"
1612,46.21.1,46.21.1 - Commercio all'ingrosso di cereali e legumi secchi
1613,46.21.10,46.21.10 - Commercio all'ingrosso di cereali e legumi secchi
1614,46.21.2,"46.21.2 - Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina, tabacco grezzo"
1615,46.21.21,46.21.21 - Commercio all'ingrosso di tabacco grezzo
1616,46.21.22,"46.21.22 - Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina"
1617,46.22,46.22 - Commercio all'ingrosso di fiori e piante
1618,46.22.0,46.22.0 - Commercio all'ingrosso di fiori e piante
1619,46.22.00,46.22.00 - Commercio all'ingrosso di fiori e piante
1620,46.23,46.23 - Commercio all'ingrosso di animali vivi
1621,46.23.0,46.23.0 - Commercio all'ingrosso di animali vivi
1622,46.23.00,46.23.00 - Commercio all'ingrosso di animali vivi
1623,46.24,46.24 - Commercio all'ingrosso di pelli e cuoio
1624,46.24.1,46.24.1 - Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria)
1625,46.24.10,46.24.10 - Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria)
1626,46.24.2,46.24.2 - Commercio all'ingrosso di pelli gregge e lavorate per pellicceria
1627,46.24.20,46.24.20 - Commercio all'ingrosso di pelli gregge e lavorate per pellicceria
1628,46.3,"46.3 - COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI, BEVANDE E PRODOTTI DEL TABACCO"
1629,46.31,46.31 - Commercio all'ingrosso di frutta e ortaggi freschi o conservati
1630,46.31.1,46.31.1 - Commercio all'ingrosso di frutta e ortaggi freschi
1631,46.31.10,46.31.10 - Commercio all'ingrosso di frutta e ortaggi freschi
1632,46.31.2,46.31.2 - Commercio all'ingrosso di frutta e ortaggi conservati
1633,46.31.20,46.31.20 - Commercio all'ingrosso di frutta e ortaggi conservati
1634,46.32,46.32 - Commercio all'ingrosso di carne e di prodotti a base di carne
1635,46.32.1,"46.32.1 - Commercio all'ingrosso di carne fresca, congelata e surgelata"
1636,46.32.10,"46.32.10 - Commercio all'ingrosso di carne fresca, congelata e surgelata"
1637,46.32.2,46.32.2 - Commercio all'ingrosso di prodotti di salumeria
1638,46.32.20,46.32.20 - Commercio all'ingrosso di prodotti di salumeria
1639,46.33,"46.33 - Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi commestibili"
1640,46.33.1,46.33.1 - Commercio all'ingrosso di prodotti lattiero-caseari e di uova
1641,46.33.10,46.33.10 - Commercio all'ingrosso di prodotti lattiero-caseari e di uova
1642,46.33.2,46.33.2 - Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale
1643,46.33.20,46.33.20 - Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale
1644,46.34,46.34 - Commercio all'ingrosso di bevande
1645,46.34.1,46.34.1 - Commercio all'ingrosso di bevande alcoliche
1646,46.34.10,46.34.10 - Commercio all'ingrosso di bevande alcoliche
1647,46.34.2,46.34.2 - Commercio all'ingrosso di bevande non alcoliche
1648,46.34.20,46.34.20 - Commercio all'ingrosso di bevande non alcoliche
1649,46.35,46.35 - Commercio all'ingrosso di prodotti del tabacco 
1650,46.35.0,46.35.0 - Commercio all'ingrosso di prodotti del tabacco
1651,46.35.00,46.35.00 - Commercio all'ingrosso di prodotti del tabacco
1652,46.36,"46.36 - Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno"
1653,46.36.0,"46.36.0 - Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno"
1654,46.36.00,"46.36.00 - Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno"
1655,46.37,"46.37 - Commercio all'ingrosso di caffè, tè, cacao e spezie"
1656,46.37.0,"46.37.0 - Commercio all'ingrosso di caffè, tè, cacao e spezie"
1657,46.37.01,46.37.01 - Commercio all'ingrosso di caffè
1658,46.37.02,"46.37.02 - Commercio all'ingrosso di tè, cacao e spezie"
1659,46.38,"46.38 - Commercio all'ingrosso di altri prodotti alimentari, inclusi pesci, crostacei e molluschi"
1660,46.38.1,46.38.1 - Commercio all'ingrosso di prodotti della pesca freschi
1661,46.38.10,46.38.10 - Commercio all'ingrosso di prodotti della pesca freschi
1662,46.38.2,"46.38.2 - Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi"
1663,46.38.20,"46.38.20 - Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi"
1664,46.38.3,46.38.3 - Commercio all'ingrosso di pasti e piatti pronti
1665,46.38.30,46.38.30 - Commercio all'ingrosso di pasti e piatti pronti
1666,46.38.9,46.38.9 - Commercio all'ingrosso di altri prodotti alimentari
1667,46.38.90,46.38.90 - Commercio all'ingrosso di altri prodotti alimentari
1668,46.39,"46.39 - Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco"
1669,46.39.1,46.39.1 - Commercio all'ingrosso non specializzato di prodotti surgelati
1670,46.39.10,46.39.10 - Commercio all'ingrosso non specializzato di prodotti surgelati
1671,46.39.2,"46.39.2 - Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco"
1672,46.39.20,"46.39.20 - Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco"
1673,46.4,46.4 - COMMERCIO ALL'INGROSSO DI BENI DI CONSUMO FINALE
1674,46.41,46.41 - Commercio all'ingrosso di prodotti tessili
1675,46.41.1,46.41.1 - Commercio all'ingrosso di tessuti
1676,46.41.10,46.41.10 - Commercio all'ingrosso di tessuti
1677,46.41.2,"46.41.2 - Commercio all'ingrosso di articoli di merceria, filati e passamaneria"
1678,46.41.20,"46.41.20 - Commercio all'ingrosso di articoli di merceria, filati e passamaneria"
1679,46.41.9,46.41.9 - Commercio all'ingrosso di altri articoli tessili
1680,46.41.90,46.41.90 - Commercio all'ingrosso di altri articoli tessili
1681,46.42,46.42 - Commercio all'ingrosso di abbigliamento e di calzature
1682,46.42.1,46.42.1 - Commercio all'ingrosso di abbigliamento e accessori
1683,46.42.10,46.42.10 - Commercio all'ingrosso di abbigliamento e accessori
1684,46.42.2,46.42.2 - Commercio all'ingrosso di articoli in pelliccia
1685,46.42.20,46.42.20 - Commercio all'ingrosso di articoli in pelliccia
1686,46.42.3,"46.42.3 - Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili"
1687,46.42.30,"46.42.30 - Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili"
1688,46.42.4,46.42.4 - Commercio all'ingrosso di calzature e accessori
1689,46.42.40,46.42.40 - Commercio all'ingrosso di calzature e accessori
1690,46.43,"46.43 - Commercio all'ingrosso di elettrodomestici, elettronica di consumo audio e video; articoli per fotografia, cinematografia e ottica"
1691,46.43.1,"46.43.1 - Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video"
1692,46.43.10,"46.43.10 - Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video"
1693,46.43.2,"46.43.2 - Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)"
1694,46.43.20,"46.43.20 - Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)"
1695,46.43.3,"46.43.3 - Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica"
1696,46.43.30,"46.43.30 - Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica"
1697,46.44,"46.44 - Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia"
1698,46.44.1,46.44.1 - Commercio all'ingrosso di vetreria e cristalleria
1699,46.44.10,46.44.10 - Commercio all'ingrosso di vetreria e cristalleria
1700,46.44.2,46.44.2 - Commercio all'ingrosso di ceramiche e porcellana
1701,46.44.20,46.44.20 - Commercio all'ingrosso di ceramiche e porcellana
1702,46.44.3,"46.44.3 - Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia"
1703,46.44.30,"46.44.30 - Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia"
1704,46.44.4,"46.44.4 - Commercio all'ingrosso di coltelleria, posateria e pentolame"
1705,46.44.40,"46.44.40 - Commercio all'ingrosso di coltelleria, posateria e pentolame"
1706,46.45,46.45 - Commercio all'ingrosso di profumi e cosmetici
1707,46.45.0,46.45.0 - Commercio all'ingrosso di profumi e cosmetici
1708,46.45.00,46.45.00 - Commercio all'ingrosso di profumi e cosmetici
1709,46.46,46.46 - Commercio all'ingrosso di prodotti farmaceutici
1710,46.46.1,46.46.1 - Commercio all'ingrosso di medicinali
1711,46.46.10,46.46.10 - Commercio all'ingrosso di medicinali
1712,46.46.2,46.46.2 - Commercio all'ingrosso di prodotti botanici per uso farmaceutico
1713,46.46.20,46.46.20 - Commercio all'ingrosso di prodotti botanici per uso farmaceutico
1714,46.46.3,46.46.3 - Commercio all'ingrosso di articoli medicali ed ortopedici
1715,46.46.30,46.46.30 - Commercio all'ingrosso di articoli medicali ed ortopedici
1716,46.47,"46.47 - Commercio all'ingrosso di mobili, tappeti e articoli per l'illuminazione"
1717,46.47.1,46.47.1 - Commercio all'ingrosso di mobili di qualsiasi materiale
1718,46.47.10,46.47.10 - Commercio all'ingrosso di mobili di qualsiasi materiale
1719,46.47.2,46.47.2 - Commercio all'ingrosso di tappeti
1720,46.47.20,46.47.20 - Commercio all'ingrosso di tappeti
1721,46.47.3,46.47.3 - Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico
1722,46.47.30,46.47.30 - Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico
1723,46.48,46.48 - Commercio all'ingrosso di orologi e di gioielleria
1724,46.48.0,46.48.0 - Commercio all'ingrosso di orologi e di gioielleria
1725,46.48.00,46.48.00 - Commercio all'ingrosso di orologi e di gioielleria
1726,46.49,46.49 - Commercio all'ingrosso di altri beni di consumo
1727,46.49.1,"46.49.1 - Commercio all'ingrosso di carta, cartone e articoli di cartoleria"
1728,46.49.10,"46.49.10 - Commercio all'ingrosso di carta, cartone e articoli di cartoleria"
1729,46.49.2,"46.49.2 - Commercio all'ingrosso di libri, riviste e giornali"
1730,46.49.20,"46.49.20 - Commercio all'ingrosso di libri, riviste e giornali"
1731,46.49.3,46.49.3 - Commercio all'ingrosso di giochi e giocattoli
1732,46.49.30,46.49.30 - Commercio all'ingrosso di giochi e giocattoli
1733,46.49.4,46.49.4 - Commercio all'ingrosso di articoli sportivi (incluse le biciclette)
1734,46.49.40,46.49.40 - Commercio all'ingrosso di articoli sportivi (incluse le biciclette)
1735,46.49.5,46.49.5 - Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale
1736,46.49.50,46.49.50 - Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale
1737,46.49.9,46.49.9 - Commercio all'ingrosso di vari prodotti di consumo non alimentare nca
1738,46.49.90,46.49.90 - Commercio all'ingrosso di vari prodotti di consumo non alimentare nca
1739,46.5,46.5 - COMMERCIO ALL'INGROSSO DI APPARECCHIATURE ICT
1740,46.51,"46.51 - Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software"
1741,46.51.0,"46.51.0 - Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software"
1742,46.51.00,"46.51.00 - Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software"
1743,46.52,46.52 - Commercio all'ingrosso di apparecchiature elettroniche per telecomunicazioni e componenti elettronici 
1744,46.52.0,46.52.0 - Commercio all'ingrosso apparecchiature elettroniche per telecomunicazioni e componenti elettronici
1745,46.52.01,46.52.01 - Commercio all'ingrosso di apparecchi e materiali telefonici
1746,46.52.02,46.52.02 - Commercio all'ingrosso di nastri non registrati
1747,46.52.09,46.52.09 - Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici
1748,46.6,"46.6 - COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI, ATTREZZATURE E FORNITURE"
1749,46.61,"46.61 - Commercio all'ingrosso di macchinari, attrezzature e forniture agricole"
1750,46.61.0,"46.61.0 - Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori"
1751,46.61.00,"46.61.00 - Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori"
1752,46.62,46.62 - Commercio all'ingrosso di macchine utensili
1753,46.62.0,46.62.0 - Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili)
1754,46.62.00,46.62.00 - Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili)
1755,46.63,"46.63 - Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile"
1756,46.63.0,"46.63.0 - Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile"
1757,46.63.00,"46.63.00 - Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile"
1758,46.64,"46.64 - Commercio all'ingrosso di macchinari per l'industria tessile, di macchine per cucire e per maglieria"
1759,46.64.0,"46.64.0 - Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria"
1760,46.64.00,"46.64.00 - Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria"
1761,46.65,46.65 - Commercio all'ingrosso di mobili per ufficio e negozi
1762,46.65.0,46.65.0 - Commercio all'ingrosso di mobili per ufficio e negozi
1763,46.65.00,46.65.00 - Commercio all'ingrosso di mobili per ufficio e negozi
1764,46.66,46.66 - Commercio all'ingrosso di altre macchine e attrezzature per ufficio
1765,46.66.0,46.66.0 - Commercio all'ingrosso di altre macchine e attrezzature per ufficio
1766,46.66.00,46.66.00 - Commercio all'ingrosso di altre macchine e attrezzature per ufficio
1767,46.69,46.69 - Commercio all'ingrosso di altri macchinari e attrezzature
1768,46.69.1,46.69.1 - Commercio all'ingrosso di mezzi ed attrezzature di trasporto
1769,46.69.11,46.69.11 - Commercio all'ingrosso di imbarcazioni da diporto
1770,46.69.19,46.69.19 - Commercio all'ingrosso di altri mezzi ed attrezzature di trasporto
1771,46.69.2,46.69.2 - Commercio all'ingrosso di materiale elettrico per impianti di uso industriale
1772,46.69.20,46.69.20 - Commercio all'ingrosso di materiale elettrico per impianti di uso industriale
1773,46.69.3,"46.69.3 - Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici"
1774,46.69.30,"46.69.30 - Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici"
1775,46.69.9,"46.69.9 - Commercio all'ingrosso di altre macchine e attrezzature per l'industria, il commercio e la navigazione"
1776,46.69.91,46.69.91 - Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso scientifico
1777,46.69.92,46.69.92 - Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso non scientifico
1778,46.69.93,46.69.93 - Commercio all'ingrosso di giochi per luna-park e videogiochi per pubblici esercizi
1779,46.69.94,46.69.94 - Commercio all'ingrosso di articoli antincendio e antinfortunistici
1780,46.69.99,"46.69.99 - Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca"
1781,46.7,46.7 - COMMERCIO ALL'INGROSSO SPECIALIZZATO DI ALTRI PRODOTTI
1782,46.71,"46.71 - Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati"
1783,46.71.0,"46.71.0 - Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento"
1784,46.71.00,"46.71.00 - Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento"
1785,46.72,46.72 - Commercio all'ingrosso di metalli e di minerali metalliferi
1786,46.72.1,"46.72.1 - Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati"
1787,46.72.10,"46.72.10 - Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati"
1788,46.72.2,46.72.2 - Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati
1789,46.72.20,46.72.20 - Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati
1790,46.73,"46.73 - Commercio all'ingrosso di legname e di materiali da costruzione, apparecchi igienico-sanitari, vetro piano, vernici e colori"
1791,46.73.1,"46.73.1 - Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale"
1792,46.73.10,"46.73.10 - Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale"
1793,46.73.2,46.73.2 - Commercio all'ingrosso di materiali da costruzione (inclusi gli apparecchi igienicosanitari)
1794,46.73.21,46.73.21 - Commercio all'ingrosso di moquette e linoleum
1795,46.73.22,46.73.22 - Commercio all'ingrosso di altri materiali per rivestimenti (inclusi gli apparecchi igienico-sanitari)
1796,46.73.23,46.73.23 - Commercio all'ingrosso di infissi
1797,46.73.29,46.73.29 - Commercio all'ingrosso di altri materiali da costruzione
1798,46.73.3,46.73.3 - Commercio all'ingrosso di vetro piano
1799,46.73.30,46.73.30 - Commercio all'ingrosso di vetro piano
1800,46.73.4,"46.73.4 - Commercio all'ingrosso di carta da parati, colori e vernici"
1801,46.73.40,"46.73.40 - Commercio all'ingrosso di carta da parati, colori e vernici"
1802,46.74,"46.74 - Commercio all'ingrosso di ferramenta, di apparecchi e accessori per impianti idraulici e di riscaldamento"
1803,46.74.1,46.74.1 - Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
1804,46.74.10,46.74.10 - Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
1805,46.74.2,"46.74.2 - Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento"
1806,46.74.20,"46.74.20 - Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento"
1807,46.75,46.75 - Commercio all'ingrosso di prodotti chimici
1808,46.75.0,46.75.0 - Commercio all'ingrosso di prodotti chimici
1809,46.75.01,46.75.01 - Commercio all'ingrosso di fertilizzanti e di altri prodotti chimici per l'agricoltura
1810,46.75.02,46.75.02 - Commercio all'ingrosso di prodotti chimici per l'industria
1811,46.76,46.76 - Commercio all'ingrosso di altri prodotti intermedi
1812,46.76.1,46.76.1 - Commercio all'ingrosso di fibre tessili gregge e semilavorate
1813,46.76.10,46.76.10 - Commercio all'ingrosso di fibre tessili gregge e semilavorate
1814,46.76.2,"46.76.2 - Commercio all'ingrosso di gomma greggia, materie plastiche in forme primarie e semilavorati"
